#{"t_start": 1746485341.7237988, "env_id": "None"}
r,l,t
1827.814877,1011,4153.687232
790.185856,309,4156.357472
1209.398882,384,4159.425365
1731.83007,419,4162.858071
1850.098501,519,4166.031976
1244.43368,595,4188.147151
-1717.376073,1728,4216.175347
-2680.723398,1309,4224.394878
2578.105352,1421,4250.648477
1778.179075,994,4258.111958
2982.695917,1700,4286.852736
-5771.64457,1732,4316.388845
4301.359923,1327,4342.234987
-15.539446,47,4342.721509
2219.630267,619,4347.358441
1898.315959,863,4353.725908
750.727129,284,4374.033562
7.417483,1,4374.257448
2552.975101,987,4380.710247
1687.164798,990,4405.581465
2001.910187,428,4408.52749
43.646968,973,4415.360299
1808.35182,419,4418.454633
8.067761,1,4418.661201
964.216135,471,4440.047267
-376.336302,977,4447.747174
1953.313918,482,4451.509833
3436.214898,970,4475.333879
139.41669,96,4476.084067
8.903604,1,4476.28248
1925.321341,689,4481.728893
1350.652573,477,4484.772509
1755.833079,866,4509.687573
3056.049065,690,4514.893758
904.366525,499,4518.755363
2450.60429,1069,4545.43954
2374.068995,811,4550.371451
2556.654491,601,4572.025706
1591.788915,492,4575.634566
1367.234319,388,4577.986135
537.360111,174,4579.458675
76.351506,279,4581.331078
5.018301,1,4581.534431
-1651.087037,1634,4609.939839
-1184.552106,1122,4634.228558
8.184487,1,4634.43094
8.311993,1,4634.62243
652.981171,297,4636.602063
1974.075487,474,4639.89753
1863.870342,903,4645.77422
1162.630098,1106,4671.66348
379.828192,977,4677.961847
2144.008643,525,4699.215503
1291.185543,1436,4709.828411
1205.296463,1278,4736.596545
2206.66101,649,4740.870673
387.642973,522,4761.22313
1007.647345,353,4764.592046
3769.830026,1050,4772.061982
1373.372062,488,4792.949682
7.034072,1,4793.150072
1218.442282,868,4798.883787
-10883.755515,2003,4830.780309
3087.756361,577,4834.880606
5.13838,1,4835.084682
842.90214,530,4838.271861
682.240204,481,4859.936659
2053.17491,434,4863.008831
-3102.449932,1170,4888.219057
2872.97862,1574,4898.658049
677.495917,209,4900.051243
1641.782798,547,4920.67941
-2269.84443,847,4925.973335
2056.612306,799,4931.6214
1902.792243,488,4952.259035
3188.805487,1130,4960.493657
8.446048,1,4960.714485
3329.440597,1042,4984.590027
7.523642,1,4984.810633
-1805.932958,1014,4992.161248
-1820.234395,1484,5019.556113
6.42819,1,5019.780717
2200.138677,952,5027.144494
8.942403,1,5027.353147
1633.238558,1816,5057.985484
2282.295714,578,5079.101953
1262.128642,665,5083.73991
2334.125724,1258,5109.422643
32.329285,56,5109.923028
1507.164382,1064,5117.618388
6.745622,1,5117.819433
5.307484,1,5118.008434
1372.159181,533,5122.110518
-1161.696055,1399,5148.921062
685.449291,286,5150.700347
2718.52745,979,5174.462074
3129.973769,1128,5182.170698
3309.93618,889,5205.254247
-21.419559,187,5206.442098
159.463617,103,5207.576842
2814.443613,659,5212.927347
960.880855,356,5215.654074
746.791176,243,5217.757925
2434.745676,572,5238.435902
629.653388,221,5240.24827
211.063769,1348,5249.647649
1768.147936,406,5269.747171
4237.512888,942,5275.86412
2739.755923,533,5279.428038
3232.875283,1074,5303.696486
1742.228311,616,5307.808107
1769.551115,498,5311.655526
4319.728036,1220,5337.808486
4.77352,1,5338.014531
2449.310138,1181,5363.255345
1057.409685,284,5365.713273
8.147389,1,5365.947675
2966.099387,803,5371.68877
111.964693,667,5376.296669
8.56876,1,5376.498655
3795.996436,1014,5399.168711
1718.911479,1277,5425.505361
1568.813173,1006,5431.825879
637.05295,235,5433.528162
697.159774,197,5434.721086
623.64349,269,5436.613919
2473.089731,543,5457.360843
952.470833,1064,5464.267653
3199.830864,1185,5489.545659
1795.451813,338,5491.787021
3120.875557,1974,5521.829518
1295.350909,746,5526.422937
3271.506614,809,5549.314728
2834.042222,593,5553.244818
1248.016801,717,5557.375142
-4390.35327,1672,5584.955012
1310.201093,426,5588.117498
1267.049026,448,5608.891792
1630.998954,627,5612.552619
-61.128845,163,5614.118808
-277.955676,358,5616.423465
3381.422289,890,5640.311865
3949.349497,1027,5647.265782
2102.574214,606,5651.5405
2749.519108,1293,5678.381096
47.066259,68,5678.985976
1007.996591,305,5681.664309
2194.614589,516,5685.159927
4953.822956,1398,5709.993018
7.556179,1,5710.199063
1399.607351,365,5712.579679
1989.768424,374,5715.391459
1566.877345,472,5735.327827
2298.345471,628,5739.626323
1811.809545,483,5743.165256
2059.976597,495,5746.255031
1572.483995,891,5770.251734
607.781381,172,5772.260903
2053.330097,499,5775.186315
1144.290183,390,5778.239318
4632.471707,1476,5804.962375
2353.93595,639,5809.348747
1450.76627,1051,5833.245479
4529.153653,854,5839.067016
2083.199995,751,5861.085619
758.916457,743,5865.973233
2451.379326,1265,5891.765817
2855.803289,1014,5898.249058
4638.682581,1013,5921.970078
444.142424,155,5923.435013
6.479154,1,5923.637982
-384.189581,480,5927.392136
6.478545,1,5927.587103
1173.35148,698,5931.921015
4.864944,1,5932.114767
6.417795,1,5932.289305
5016.663383,1061,5956.802131
2722.719715,896,5963.697275
2704.232985,962,5987.592288
1919.108304,409,5990.0079
4340.337009,1675,6017.19811
1205.057271,361,6019.671411
3871.056752,1485,6045.401837
1158.933396,673,6049.558557
-96.238842,1257,6074.762411
3551.720852,763,6079.991044
2800.693137,652,6084.274427
1656.460229,519,6104.284284
2912.006953,919,6110.45961
3930.712121,1372,6136.488055
-140.30838,150,6137.597652
396.26662,190,6139.163509
6.997352,1,6139.360405
3233.037069,944,6145.039636
-30.971017,19,6145.333047
3140.682128,833,6167.955713
1145.655402,290,6169.797364
1725.025113,962,6176.255119
1873.447988,592,6196.606055
2702.619547,747,6201.743933
1600.073017,606,6205.9473
5120.110432,874,6228.60133
2831.011182,1672,6256.983685
-4718.581654,1222,6266.511019
3124.762455,556,6269.921595
57.071779,66,6270.56179
3341.319048,700,6295.13053
6.429594,1,6295.327605
466.702735,884,6301.613707
2120.085486,470,6304.712087
3599.124154,1175,6329.445046
5594.808129,1301,6354.821251
7269.661504,1322,6363.240003
2621.579802,969,6386.454821
5763.831384,1078,6394.346997
5503.578872,1023,6418.560127
886.77175,328,6421.961062
3247.516883,699,6426.410766
6284.983095,1700,6454.797638
228.453674,124,6455.698427
7705.667502,1749,6483.718632
2994.551735,611,6487.238569
2126.94643,641,6508.490984
4598.450592,1305,6517.423225
5206.250761,1056,6542.164352
430.708232,1656,6568.173674
240.237628,114,6569.034754
8.280564,1,6569.238787
4788.240741,1146,6578.427389
1432.440151,715,6602.285823
4533.224954,747,6607.482691
2871.268775,571,6611.741521
4662.856535,1222,6637.050931
-243.361049,305,6639.15577
5954.396077,1927,6667.637608
2160.773727,1244,6693.504699
3194.477158,1125,6700.938865
