step,leg,toe_y,toe_z,hip_angle,knee_angle
380,RL,-0.1809,0.3722,-2.2675,-2.1139
381,RL,-0.1818,0.3619,-2.2622,-2.1065
382,RL,-0.1829,0.3715,-2.2568,-2.0990
383,RL,-0.1838,0.3609,-2.2512,-2.0912
384,FL,0.2418,0.4145,-2.3732,-2.0425
385,FL,0.2405,0.4055,-2.3767,-2.0514
386,FL,0.2411,0.4137,-2.3800,-2.0601
387,FL,0.2404,0.4044,-2.3832,-2.0686
388,FL,0.2416,0.4124,-2.3863,-2.0769
389,FL,0.2409,0.4026,-2.3893,-2.0850
390,FL,0.2421,0.4103,-2.3921,-2.0928
391,FL,0.2414,0.4000,-2.3948,-2.1004
392,FL,0.2425,0.4075,-2.3974,-2.1079
393,FL,0.2418,0.3966,-2.3999,-2.1151
394,FL,0.2429,0.4038,-2.4022,-2.1221
395,FL,0.2422,0.3923,-2.4045,-2.1289
396,FL,0.2432,0.3992,-2.4066,-2.1355
397,FL,0.2430,0.3920,-2.4086,-2.1420
398,FL,0.2441,0.4031,-2.4105,-2.1482
399,FL,0.2439,0.3956,-2.4123,-2.1543
400,FL,0.2449,0.4062,-2.4140,-2.1601
401,FL,0.2446,0.3984,-2.4155,-2.1658
402,FL,0.2455,0.4085,-2.4170,-2.1713
403,FL,0.2453,0.4003,-2.4184,-2.1766
404,FL,0.2461,0.4100,-2.4196,-2.1817
405,FL,0.2459,0.4014,-2.4207,-2.1867
406,FL,0.2466,0.4107,-2.4218,-2.1915
407,FL,0.2465,0.4017,-2.4227,-2.1961
408,FL,0.2471,0.4106,-2.4236,-2.2005
409,FL,0.2470,0.4012,-2.4243,-2.2048
410,FL,0.2476,0.4097,-2.4249,-2.2088
411,FL,0.2475,0.3999,-2.4255,-2.2128
412,FL,0.2480,0.4081,-2.4259,-2.2165
413,FL,0.2480,0.3978,-2.4262,-2.2201
414,FL,0.2485,0.4056,-2.4265,-2.2235
415,FL,0.2485,0.3948,-2.4266,-2.2267
416,FL,0.2490,0.4024,-2.4267,-2.2298
417,FL,0.2490,0.3910,-2.4266,-2.2327
418,FL,0.2495,0.3983,-2.4265,-2.2354
419,FL,0.2501,0.3865,-2.4262,-2.2380
420,FL,0.2510,0.3936,-2.4259,-2.2404
421,FL,0.2505,0.3844,-2.4255,-2.2427
422,FL,0.2503,0.3942,-2.4250,-2.2448
423,FL,0.2498,0.3846,-2.4243,-2.2467
424,FL,0.2497,0.3940,-2.4236,-2.2485
425,FL,0.2493,0.3841,-2.4229,-2.2501
426,FL,0.2495,0.3931,-2.4220,-2.2515
427,FL,0.2491,0.3827,-2.4210,-2.2528
428,FL,0.2492,0.3914,-2.4199,-2.2540
429,FL,0.2499,0.3808,-2.4188,-2.2549
430,FL,0.2510,0.3894,-2.4175,-2.2557
431,FL,0.2519,0.3784,-2.4162,-2.2564
432,FL,0.2528,0.3867,-2.4148,-2.2569
433,FL,0.2539,0.3751,-2.4133,-2.2572
434,FL,0.2548,0.3831,-2.4117,-2.2574
435,FL,0.2559,0.3712,-2.4100,-2.2574
436,FL,0.2567,0.3790,-2.4082,-2.2572
437,FL,0.2557,0.3714,-2.4064,-2.2569
